Issue Key,Issue Type,Status,Priority,Summary,Description,Component/s,Affects Version/s,Fix Version/s,Assignee,Reporter,Created,Updated,Resolved,Resolution,Labels,Story Points,Epic Link,Sprint,Module,Root Cause,Defect Category,Business Impact,Customer Impact
ECOM-1164,Bug,Reopened,Medium,Product count showing incorrect numbers on mobile devices,Inconsistent behavior observed when product count showing incorrect numbers on mobile devices. The issue appears to be intermittent and affects certain user segments.,Navigation System,v2.2.2,,mobile.tester,finance.dept,2024-11-24,2024-12-23,,,"""performance,data""",3,,SPRINT-21,Browse Products by Category,Calculation Error,Performance,Medium,Critical
ECOM-1165,Bug,To Do,Low,Order history not displaying for international shipping,System fails to properly handle order history not displaying for international shipping. Multiple users have reported this issue across different browsers.,Order History,v2.1.7,,david.chen,qa.tester,2024-01-10,2024-10-27,,,"returns,tracking,active""",2,,SPRINT-25,Order Management,Configuration Issue,Functional,Critical,Medium
ECOM-1166,Bug,Open,Low,Search by category failing in specific browsers,Users experiencing issues when trying to search by category failing in specific browsers. This affects user experience and may impact conversion rates.,Pagination System,v2.2.2,,,sarah.wilson,2023-07-24,2024-12-17,,,"filters,suggestions,active""",2,,SPRINT-18,Search for Products,Input Validation,Data Integrity,Low,Critical
ECOM-1167,Bug,In Progress,Low,Payment methods not displaying for subscription items,Inconsistent behavior observed when payment methods not displaying for subscription items. The issue appears to be intermittent and affects certain user segments.,Payment Validation,v2.1.0,,session.team,customer.support,2024-06-09,2024-11-29,,,"flow,order,active""",1,EPIC-008,SPRINT-33,Checkout and Payment,Algorithm Issue,Functional,Critical,Medium
ECOM-1168,Bug,In Progress,Low,Order shipping details wrong for bulk orders,System fails to properly handle order shipping details wrong for bulk orders. Multiple users have reported this issue across different browsers.,Order Tracking,v2.2.1,,payment.team,finance.dept,2023-09-28,2024-12-15,,,"processing,tracking,active""",1,,SPRINT-29,Order Management,Database Sync,Critical,Low,Critical
ECOM-1169,Bug,Reopened,Medium,User login not working for existing users,Users experiencing issues when trying to user login not working for existing users. This affects user experience and may impact conversion rates.,Registration System,v2.1.4,,performance.team,ui.designer,2024-06-01,2024-11-28,,,"""authentication,authentication""",2,EPIC-009,SPRINT-96,User Account Management,Database Sync,Functional,Critical,High
ECOM-1170,Bug,To Do,High,Order shipping details wrong with expedited delivery,Inconsistent behavior observed when order shipping details wrong with expedited delivery. The issue appears to be intermittent and affects certain user segments.,Order Processing,v2.1.2,,session.team,finance.dept,2023-10-27,2024-04-27,,,"tracking,order,active""",4,,SPRINT-76,Order Management,Asset Loading,UI/UX,Low,Low
ECOM-1171,Bug,In Progress,Low,Category page not loading correctly with many subcategories,System fails to properly handle category page not loading correctly with many subcategories. Multiple users have reported this issue across different browsers.,Mobile Navigation,v2.0.5,,session.team,compliance.officer,2024-01-06,2024-07-17,,,"ui,mobile,active""",1,,SPRINT-20,Browse Products by Category,Business Logic,Functional,Critical,Low
ECOM-1172,Bug,In Progress,High,Cart items disappearing for guest users,Performance degradation noticed when cart items disappearing for guest users. Users are experiencing slow response times.,Cart UI,v2.1.1,,data.team,finance.dept,2023-04-27,2024-08-08,,,"mobile,cart,active""",4,,SPRINT-74,Add Products to Cart,Session Issue,UI/UX,High,Low
ECOM-1173,Bug,Reopened,Medium,Product availability wrong with bulk operations,Users experiencing issues when trying to product availability wrong with bulk operations. This affects user experience and may impact conversion rates.,Product Display,v2.1.1,,session.team,sarah.wilson,2024-07-21,2024-12-08,,,"""product,product""",2,,SPRINT-98,Product Management,Business Logic,Functional,High,Medium
ECOM-1174,Bug,Reopened,Low,Wishlist privacy settings broken for multiple lists,Users experiencing issues when trying to wishlist privacy settings broken for multiple lists. This affects user experience and may impact conversion rates.,Wishlist Persistence,v2.1.0,,sarah.wilson,admin.user,2024-04-16,2024-10-03,,,"""sharing,ui""",1,,SPRINT-100,Wishlist and Favorites,Algorithm Issue,Functional,Medium,Medium
ECOM-1175,Bug,Reopened,High,User session timeout for enterprise accounts,Inconsistent behavior observed when user session timeout for enterprise accounts. The issue appears to be intermittent and affects certain user segments.,Account Settings,v2.1.1,,data.team,jane.smith,2023-03-16,2024-05-25,,,"""authentication,user""",5,EPIC-002,SPRINT-35,User Account Management,Asset Loading,Enhancement,Low,Critical
ECOM-1176,Bug,Resolved,Critical,Order confirmation problems for bulk orders,System fails to properly handle order confirmation problems for bulk orders. Multiple users have reported this issue across different browsers.,Order Tracking,v2.0.9,v2.1.3,backend.dev,customer.support,2024-12-26,2024-12-26,2024-12-26,Won't Fix,"""order,history""",5,,SPRINT-38,Order Management,Data Mapping,Data Integrity,Low,High
ECOM-1177,Bug,In Progress,Low,Account registration issues for existing users,System fails to properly handle account registration issues for existing users. Multiple users have reported this issue across different browsers.,Account Settings,v2.1.4,,mike.johnson,product.manager,2024-02-16,2024-07-04,,,"authentication,profile,active""",2,EPIC-006,SPRINT-10,User Account Management,Async Processing,Performance,Critical,Critical
ECOM-1178,Bug,Closed,High,Account deletion issues with special characters,Critical functionality broken for account deletion issues with special characters. This is causing customer complaints and potential revenue loss.,Password System,v2.1.7,v2.1.4,order.team,business.analyst,2024-12-04,2024-12-15,2024-12-15,Cannot Reproduce,"""authentication,password""",3,EPIC-007,SPRINT-37,User Account Management,Asset Loading,Performance,Medium,Low
ECOM-1179,Bug,In Progress,Medium,Search by category failing with special characters,Inconsistent behavior observed when search by category failing with special characters. The issue appears to be intermittent and affects certain user segments.,Pagination System,v2.2.1,,john.doe,ui.designer,2024-11-26,2024-12-19,,,"search,filters,active""",3,,SPRINT-18,Search for Products,State Management,Performance,Critical,High
ECOM-1180,Bug,Resolved,High,Product reviews not showing for featured products,Critical functionality broken for product reviews not showing for featured products. This is causing customer complaints and potential revenue loss.,Inventory System,v2.1.7,v2.2.2,order.team,jane.smith,2024-04-03,2024-05-15,2024-05-15,Cannot Reproduce,"""price,price""",5,,SPRINT-5,Product Management,Routing Issue,UI/UX,Low,Medium
ECOM-1181,Bug,Open,Low,Social login not working for existing users,Critical functionality broken for social login not working for existing users. This is causing customer complaints and potential revenue loss.,User Authentication,v2.1.2,,,sarah.wilson,2024-10-27,2024-11-01,,,"user,password,active""",1,EPIC-003,SPRINT-90,User Account Management,Error Handling,Data Integrity,Medium,Low
ECOM-1182,Bug,Resolved,Low,Search pagination issues in different languages,Inconsistent behavior observed when search pagination issues in different languages. The issue appears to be intermittent and affects certain user segments.,Search UI,v2.1.3,v2.1.1,mobile.tester,business.analyst,2023-02-21,2023-08-20,2023-08-20,Cannot Reproduce,"""history,autocomplete""",1,,SPRINT-5,Search for Products,Input Validation,UI/UX,High,Low
ECOM-1183,Bug,Reopened,Low,Cart icon not updating from search results,Critical functionality broken for cart icon not updating from search results. This is causing customer complaints and potential revenue loss.,Cart Calculation,v2.1.9,,david.chen,jane.smith,2024-07-27,2024-12-17,,,"""mobile,ui""",1,,SPRINT-51,Add Products to Cart,Database Sync,Critical,Critical,Critical
ECOM-1184,Bug,In Progress,Medium,Wishlist sharing not working for out of stock items,System fails to properly handle wishlist sharing not working for out of stock items. Multiple users have reported this issue across different browsers.,Wishlist System,v2.2.0,,payment.team,admin.user,2024-03-11,2024-06-07,,,"ui,favorites,active""",2,,SPRINT-24,Wishlist and Favorites,Calculation Error,Performance,Critical,High
ECOM-1185,Bug,Closed,Critical,Category filters not persisting on mobile devices,Critical functionality broken for category filters not persisting on mobile devices. This is causing customer complaints and potential revenue loss.,Category Display,v2.2.1,v2.2.2,frontend.dev,finance.dept,2024-07-04,2024-11-11,2024-11-11,Won't Fix,"""category,mobile""",8,,SPRINT-29,Browse Products by Category,Asset Loading,Enhancement,High,Critical
ECOM-1186,Bug,Resolved,Low,Category sorting not working with applied filters,Critical functionality broken for category sorting not working with applied filters. This is causing customer complaints and potential revenue loss.,Product Catalog,v2.2.0,v2.2.1,ux.team,jane.smith,2024-07-10,2024-09-24,2024-09-24,Duplicate,"""mobile,mobile""",2,,SPRINT-88,Browse Products by Category,Event Handling,Critical,Medium,Critical
ECOM-1187,Bug,To Do,Low,Order shipping details wrong with custom requests,Users experiencing issues when trying to order shipping details wrong with custom requests. This affects user experience and may impact conversion rates.,Order Status,v2.0.5,,admin.user,sarah.wilson,2023-07-04,2024-11-01,,,"processing,processing,active""",1,,SPRINT-19,Order Management,Calculation Error,UI/UX,High,High
ECOM-1188,Bug,Resolved,Low,Order history not displaying for recurring orders,Performance degradation noticed when order history not displaying for recurring orders. Users are experiencing slow response times.,Order History,v2.1.3,v2.2.1,data.team,qa.tester,2023-11-01,2024-10-24,2024-10-24,Cannot Reproduce,"""status,order""",1,,SPRINT-8,Order Management,Database Sync,Security,Medium,Low
ECOM-1189,Bug,Open,Medium,Order confirmation email not sent with gift cards,Critical functionality broken for order confirmation email not sent with gift cards. This is causing customer complaints and potential revenue loss.,Order System,v2.0.5,,,qa.tester,2024-01-07,2024-11-18,,,"payment,email,active""",3,EPIC-004,SPRINT-91,Checkout and Payment,Routing Issue,UI/UX,Critical,High
ECOM-1190,Bug,In Progress,Medium,Product images not displaying for variant products,Users experiencing issues when trying to product images not displaying for variant products. This affects user experience and may impact conversion rates.,Price Display,v2.1.7,,john.doe,business.analyst,2024-06-06,2024-12-11,,,"inventory,images,active""",3,,SPRINT-80,Product Management,CSS Issue,Data Integrity,Low,High
ECOM-1191,Bug,To Do,Critical,Search suggestions showing wrong results with typos in query,Critical functionality broken for search suggestions showing wrong results with typos in query. This is causing customer complaints and potential revenue loss.,Search Engine,v2.1.0,,frontend.dev,data.analyst,2024-04-03,2024-07-17,,,"autocomplete,history,active""",8,,SPRINT-28,Search for Products,Data Mapping,Security,High,High
ECOM-1192,Bug,Open,Low,Product details not loading for digital products,Critical functionality broken for product details not loading for digital products. This is causing customer complaints and potential revenue loss.,Inventory System,v2.1.4,,,business.analyst,2023-05-29,2024-03-26,,,"inventory,price,active""",2,,SPRINT-77,Product Management,Integration Issue,Functional,Critical,Critical
ECOM-1193,Bug,Open,Critical,Product details not loading in different categories,Critical functionality broken for product details not loading in different categories. This is causing customer complaints and potential revenue loss.,Product Details,v2.1.4,,,customer.support,2023-05-01,2024-03-26,,,"reviews,price,active""",5,,SPRINT-94,Product Management,CSS Issue,Performance,Critical,Low
ECOM-1194,Bug,Closed,Medium,Search autocomplete failing in specific browsers,Users experiencing issues when trying to search autocomplete failing in specific browsers. This affects user experience and may impact conversion rates.,Search Engine,v2.1.2,v2.1.9,admin.user,mobile.tester,2024-03-17,2024-09-22,2024-09-22,Duplicate,"""suggestions,suggestions""",2,,SPRINT-76,Search for Products,Algorithm Issue,Security,High,High
ECOM-1195,Bug,Closed,High,Product count showing incorrect numbers with applied filters,Inconsistent behavior observed when product count showing incorrect numbers with applied filters. The issue appears to be intermittent and affects certain user segments.,Navigation System,v2.1.2,v2.1.9,data.team,data.analyst,2024-08-01,2024-08-21,2024-08-21,Duplicate,"""category,category""",5,,SPRINT-12,Browse Products by Category,Async Processing,Performance,Critical,Critical
ECOM-1196,Bug,Resolved,Low,Search autocomplete failing with special characters,Users experiencing issues when trying to search autocomplete failing with special characters. This affects user experience and may impact conversion rates.,Filter System,v2.1.8,v2.1.8,mobile.tester,finance.dept,2023-03-13,2023-05-30,2023-05-30,Duplicate,"""autocomplete,search""",2,,SPRINT-88,Search for Products,Calculation Error,Functional,Low,Low
ECOM-1197,Bug,To Do,Low,Wishlist notifications failing for multiple lists,Performance degradation noticed when wishlist notifications failing for multiple lists. Users are experiencing slow response times.,Wishlist Notifications,v2.1.8,,frontend.dev,finance.dept,2023-11-14,2023-12-27,,,"notifications,ui,active""",2,,SPRINT-18,Wishlist and Favorites,Calculation Error,Functional,Critical,Medium
ECOM-1198,Bug,Closed,Low,Wishlist to cart conversion failing for multiple lists,Inconsistent behavior observed when wishlist to cart conversion failing for multiple lists. The issue appears to be intermittent and affects certain user segments.,Wishlist Persistence,v2.1.9,v2.1.6,frontend.dev,qa.tester,2023-03-08,2024-10-22,2024-10-22,Cannot Reproduce,"""persistence,wishlist""",2,,SPRINT-22,Wishlist and Favorites,State Management,Security,High,Critical
ECOM-1199,Bug,Resolved,Critical,Payment processing hanging with discount codes,System fails to properly handle payment processing hanging with discount codes. Multiple users have reported this issue across different browsers.,Payment System,v2.1.2,v2.2.0,payment.team,compliance.officer,2024-12-03,2024-12-08,2024-12-08,Fixed,"""security,flow""",8,EPIC-009,SPRINT-38,Checkout and Payment,Database Sync,UI/UX,Medium,Critical
ECOM-1200,Bug,In Progress,Low,Search sort options not working with typos in query,System fails to properly handle search sort options not working with typos in query. Multiple users have reported this issue across different browsers.,Filter System,v2.1.5,,sarah.wilson,business.analyst,2024-08-05,2024-08-07,,,"search,suggestions,active""",2,,SPRINT-13,Search for Products,Event Handling,Data Integrity,Medium,Low
ECOM-1201,Bug,Reopened,Medium,Product images not displaying with multiple images,System fails to properly handle product images not displaying with multiple images. Multiple users have reported this issue across different browsers.,Product Display,v2.2.0,,ux.team,ui.designer,2023-09-02,2024-10-18,,,"""price,price""",2,,SPRINT-14,Product Management,Routing Issue,Security,High,Medium
ECOM-1202,Bug,Resolved,Medium,Cart quantity not updating from search results,Critical functionality broken for cart quantity not updating from search results. This is causing customer complaints and potential revenue loss.,Mobile UI,v2.1.7,v2.1.2,order.team,admin.user,2023-11-23,2024-08-11,2024-08-11,Cannot Reproduce,"""mobile,calculation""",2,,SPRINT-19,Add Products to Cart,CSS Issue,Data Integrity,Medium,High
ECOM-1203,Bug,Open,Low,Payment form validation problems for guest checkout,Performance degradation noticed when payment form validation problems for guest checkout. Users are experiencing slow response times.,Error Handling,v2.0.9,,,customer.support,2023-02-11,2024-01-22,,,"email,flow,active""",1,EPIC-003,SPRINT-32,Checkout and Payment,Integration Issue,Security,Low,Low
ECOM-1204,Bug,To Do,Low,Search autocomplete failing for mobile users,Performance degradation noticed when search autocomplete failing for mobile users. Users are experiencing slow response times.,Filter System,v2.1.4,,john.doe,ui.designer,2023-03-27,2024-08-11,,,"filters,pagination,active""",1,,SPRINT-35,Search for Products,Configuration Issue,Security,Low,High
ECOM-1205,Bug,Reopened,High,Add to cart button not working from search results,Users experiencing issues when trying to add to cart button not working from search results. This affects user experience and may impact conversion rates.,Cart Calculation,v2.1.7,,john.doe,business.analyst,2024-06-10,2024-11-30,,,"""calculation,session""",4,,SPRINT-65,Add Products to Cart,Integration Issue,Enhancement,Low,High
ECOM-1206,Bug,In Progress,High,Cart validation issues with bulk quantities,Critical functionality broken for cart validation issues with bulk quantities. This is causing customer complaints and potential revenue loss.,Mobile UI,v2.1.4,,lisa.taylor,data.analyst,2023-02-28,2024-10-30,,,"calculation,session,active""",4,,SPRINT-81,Add Products to Cart,Validation Logic,Data Integrity,Medium,High
ECOM-1207,Bug,To Do,Low,Wishlist sharing not working with custom notes,Inconsistent behavior observed when wishlist sharing not working with custom notes. The issue appears to be intermittent and affects certain user segments.,Wishlist Notifications,v2.1.3,,qa.tester,customer.support,2024-04-26,2024-09-10,,,"favorites,wishlist,active""",2,,SPRINT-84,Wishlist and Favorites,Validation Logic,Critical,Low,Critical
ECOM-1208,Bug,Open,Critical,Category performance issues in grid view,Inconsistent behavior observed when category performance issues in grid view. The issue appears to be intermittent and affects certain user segments.,Performance System,v2.1.7,,,compliance.officer,2024-06-05,2024-08-24,,,"category,mobile,active""",5,,SPRINT-2,Browse Products by Category,Storage Issue,Data Integrity,Medium,High
ECOM-1209,Bug,In Progress,Medium,User preferences not saving with multiple profiles,Users experiencing issues when trying to user preferences not saving with multiple profiles. This affects user experience and may impact conversion rates.,Login System,v2.1.1,,data.team,business.analyst,2023-08-15,2023-09-19,,,"password,registration,active""",3,EPIC-003,SPRINT-17,User Account Management,Asset Loading,Data Integrity,High,Medium
ECOM-1210,Bug,Resolved,High,Order notification not sent for gift orders,Inconsistent behavior observed when order notification not sent for gift orders. The issue appears to be intermittent and affects certain user segments.,Order Tracking,v2.1.6,v2.1.8,qa.tester,mobile.tester,2023-10-28,2024-01-18,2024-01-18,Duplicate,"""tracking,processing""",4,,SPRINT-11,Order Management,Asset Loading,Critical,Medium,Critical
ECOM-1211,Bug,Open,High,Payment form validation problems with discount codes,Inconsistent behavior observed when payment form validation problems with discount codes. The issue appears to be intermittent and affects certain user segments.,Payment Validation,v2.1.6,,,business.analyst,2024-05-09,2024-11-24,,,"flow,validation,active""",3,EPIC-004,SPRINT-21,Checkout and Payment,Configuration Issue,Data Integrity,High,Low
ECOM-1212,Bug,Closed,High,User preferences not saving with email verification,Inconsistent behavior observed when user preferences not saving with email verification. The issue appears to be intermittent and affects certain user segments.,User Authentication,v2.1.2,v2.2.1,john.doe,customer.support,2023-04-19,2024-11-29,2024-11-29,Won't Fix,"""authentication,authentication""",3,EPIC-001,SPRINT-97,User Account Management,Routing Issue,Data Integrity,High,Critical
ECOM-1213,Bug,Open,Medium,Product details not loading for featured products,Performance degradation noticed when product details not loading for featured products. Users are experiencing slow response times.,Product Reviews,v2.2.0,,,compliance.officer,2024-09-30,2024-12-31,,,"inventory,inventory,active""",3,,SPRINT-16,Product Management,Input Validation,Security,Low,Low
ECOM-1214,Bug,Reopened,High,Order notification not sent with expedited delivery,Critical functionality broken for order notification not sent with expedited delivery. This is causing customer complaints and potential revenue loss.,Order Status,v2.2.2,,mike.johnson,data.analyst,2024-01-18,2024-03-29,,,"""order,processing""",5,,SPRINT-85,Order Management,State Management,Performance,High,High
ECOM-1215,Bug,To Do,Critical,Account deletion issues for new registrations,Inconsistent behavior observed when account deletion issues for new registrations. The issue appears to be intermittent and affects certain user segments.,Login System,v2.1.6,,performance.team,product.manager,2024-07-20,2024-08-03,,,"authentication,authentication,active""",5,EPIC-004,SPRINT-58,User Account Management,Database Sync,Enhancement,High,Low
ECOM-1216,Bug,Open,Low,Wishlist privacy settings broken for guest users,Performance degradation noticed when wishlist privacy settings broken for guest users. Users are experiencing slow response times.,Wishlist UI,v2.2.0,,,sarah.wilson,2023-03-30,2023-05-11,,,"ui,favorites,active""",1,,SPRINT-42,Wishlist and Favorites,Async Processing,Enhancement,Critical,Medium
ECOM-1217,Bug,Resolved,Medium,Search history not saving in different languages,System fails to properly handle search history not saving in different languages. Multiple users have reported this issue across different browsers.,Filter System,v2.0.5,v2.2.2,data.team,business.analyst,2023-08-14,2024-08-09,2024-08-09,Cannot Reproduce,"""pagination,pagination""",2,,SPRINT-51,Search for Products,Async Processing,Enhancement,Medium,Critical
ECOM-1218,Bug,Reopened,Low,Wishlist privacy settings broken for promotional items,Inconsistent behavior observed when wishlist privacy settings broken for promotional items. The issue appears to be intermittent and affects certain user segments.,Favorites Management,v2.1.3,,admin.user,business.analyst,2023-05-28,2024-06-03,,,"""favorites,favorites""",1,,SPRINT-29,Wishlist and Favorites,Data Mapping,Performance,Medium,High
ECOM-1219,Bug,Resolved,Critical,Category images not loading for specific brands,Inconsistent behavior observed when category images not loading for specific brands. The issue appears to be intermittent and affects certain user segments.,Product Catalog,v2.2.1,v2.1.8,john.doe,sarah.wilson,2024-12-21,2024-12-22,2024-12-22,Fixed,"""navigation,mobile""",5,,SPRINT-36,Browse Products by Category,Asset Loading,Data Integrity,Medium,Critical
ECOM-1220,Bug,Open,Low,Category performance issues with sort options,Critical functionality broken for category performance issues with sort options. This is causing customer complaints and potential revenue loss.,Navigation System,v2.1.7,,,business.analyst,2024-07-24,2024-08-02,,,"category,category,active""",2,,SPRINT-71,Browse Products by Category,Error Handling,Enhancement,Critical,Critical
ECOM-1221,Bug,In Progress,Low,Cart persistence problems with promotional items,Critical functionality broken for cart persistence problems with promotional items. This is causing customer complaints and potential revenue loss.,Mobile UI,v2.1.8,,john.doe,qa.tester,2024-10-13,2024-12-10,,,"validation,mobile,active""",2,,SPRINT-80,Add Products to Cart,State Management,Critical,High,Medium
ECOM-1222,Bug,In Progress,Low,Cart total calculation incorrect with multiple variants,System fails to properly handle cart total calculation incorrect with multiple variants. Multiple users have reported this issue across different browsers.,Input Validation,v2.2.0,,frontend.dev,product.manager,2023-11-11,2024-02-11,,,"calculation,mobile,active""",2,,SPRINT-44,Add Products to Cart,Routing Issue,Critical,High,Low
ECOM-1223,Bug,To Do,Low,Account registration issues with special characters,Inconsistent behavior observed when account registration issues with special characters. The issue appears to be intermittent and affects certain user segments.,User Authentication,v2.1.4,,david.chen,product.manager,2024-10-22,2024-11-29,,,"user,user,active""",1,EPIC-003,SPRINT-95,User Account Management,State Management,Functional,Critical,High
ECOM-1224,Bug,Resolved,Critical,Order return process broken for gift orders,Users experiencing issues when trying to order return process broken for gift orders. This affects user experience and may impact conversion rates.,Order Status,v2.1.1,v2.1.0,data.team,jane.smith,2023-02-15,2024-10-17,2024-10-17,Cannot Reproduce,"""processing,history""",8,,SPRINT-36,Order Management,Error Handling,UI/UX,Medium,Critical
ECOM-1225,Bug,Closed,High,Product count showing incorrect numbers with sort options,System fails to properly handle product count showing incorrect numbers with sort options. Multiple users have reported this issue across different browsers.,Data Display,v2.1.1,v2.1.2,sarah.wilson,product.manager,2024-12-31,2024-12-31,2024-12-31,Won't Fix,"""navigation,mobile""",3,,SPRINT-44,Browse Products by Category,State Management,Functional,Critical,Medium
ECOM-1226,Bug,Resolved,High,Category images not loading with large product catalogs,System fails to properly handle category images not loading with large product catalogs. Multiple users have reported this issue across different browsers.,Data Display,v2.1.8,v2.2.2,ui.designer,jane.smith,2024-10-27,2024-12-15,2024-12-15,Duplicate,"""mobile,ui""",4,,SPRINT-25,Browse Products by Category,CSS Issue,Enhancement,Critical,Medium
ECOM-1227,Bug,In Progress,Critical,Product details not loading for out of stock items,Users experiencing issues when trying to product details not loading for out of stock items. This affects user experience and may impact conversion rates.,Product Display,v2.1.9,,ux.team,sarah.wilson,2024-04-19,2024-07-26,,,"inventory,display,active""",8,,SPRINT-54,Product Management,Async Processing,Security,High,High
ECOM-1228,Bug,Reopened,Medium,Account registration issues with social login,Critical functionality broken for account registration issues with social login. This is causing customer complaints and potential revenue loss.,Profile Management,v2.2.2,,mobile.tester,qa.tester,2023-01-01,2024-10-29,,,"""authentication,authentication""",2,EPIC-006,SPRINT-83,User Account Management,Routing Issue,Critical,Low,Critical
ECOM-1229,Bug,Closed,Medium,Order notification not sent with expedited delivery,Performance degradation noticed when order notification not sent with expedited delivery. Users are experiencing slow response times.,Order Cancellation,v2.1.3,v2.0.8,mike.johnson,data.analyst,2024-06-23,2024-06-29,2024-06-29,Won't Fix,"""tracking,processing""",2,,SPRINT-22,Order Management,Error Handling,UI/UX,High,Medium
ECOM-1230,Bug,Open,Critical,Wishlist export not working with shared lists,System fails to properly handle wishlist export not working with shared lists. Multiple users have reported this issue across different browsers.,Wishlist Sharing,v2.0.8,,,admin.user,2023-02-07,2024-02-10,,,"notifications,sharing,active""",5,,SPRINT-91,Wishlist and Favorites,Event Handling,Functional,Critical,Low
ECOM-1231,Bug,To Do,Medium,Wishlist UI display issues for bulk operations,Inconsistent behavior observed when wishlist ui display issues for bulk operations. The issue appears to be intermittent and affects certain user segments.,Wishlist UI,v2.0.9,,mike.johnson,product.manager,2023-09-02,2024-10-07,,,"ui,sharing,active""",2,,SPRINT-4,Wishlist and Favorites,Calculation Error,Data Integrity,High,High
ECOM-1232,Bug,Closed,Medium,Payment methods not displaying with gift cards,Performance degradation noticed when payment methods not displaying with gift cards. Users are experiencing slow response times.,Payment System,v2.1.6,v2.1.9,performance.team,customer.support,2024-04-05,2024-11-23,2024-11-23,Won't Fix,"""flow,payment""",2,EPIC-008,SPRINT-23,Checkout and Payment,Business Logic,UI/UX,Low,Medium
ECOM-1233,Bug,Reopened,Low,Order confirmation email not sent with discount codes,Performance degradation noticed when order confirmation email not sent with discount codes. Users are experiencing slow response times.,Order System,v2.2.2,,ux.team,compliance.officer,2024-02-03,2024-11-16,,,"""validation,payment""",1,EPIC-003,SPRINT-64,Checkout and Payment,Data Mapping,Critical,Medium,High
ECOM-1234,Bug,In Progress,Critical,Payment confirmation issues with discount codes,Critical functionality broken for payment confirmation issues with discount codes. This is causing customer complaints and potential revenue loss.,Order System,v2.1.2,,qa.tester,mobile.tester,2024-04-04,2024-06-25,,,"validation,security,active""",8,EPIC-002,SPRINT-86,Checkout and Payment,Business Logic,Performance,Critical,Low
ECOM-1235,Bug,Closed,Low,Order history not displaying for international shipping,Critical functionality broken for order history not displaying for international shipping. This is causing customer complaints and potential revenue loss.,Order Status,v2.1.7,v2.1.1,mike.johnson,mobile.tester,2024-02-10,2024-09-17,2024-09-17,Cannot Reproduce,"""returns,order""",1,,SPRINT-13,Order Management,Async Processing,Security,High,Medium
ECOM-1236,Bug,Reopened,Low,Product images not displaying for out of stock items,Critical functionality broken for product images not displaying for out of stock items. This is causing customer complaints and potential revenue loss.,Product Details,v2.1.5,,mike.johnson,compliance.officer,2023-11-03,2024-07-11,,,"""price,inventory""",2,,SPRINT-59,Product Management,Integration Issue,Data Integrity,Low,Critical
ECOM-1237,Bug,Reopened,Medium,User preferences not saving on tablet devices,Critical functionality broken for user preferences not saving on tablet devices. This is causing customer complaints and potential revenue loss.,Password System,v2.0.5,,lisa.taylor,business.analyst,2023-10-02,2024-09-03,,,"""user,profile""",2,EPIC-004,SPRINT-30,User Account Management,Database Sync,Performance,Low,Medium
ECOM-1238,Bug,Closed,High,Product comparison not working for digital products,Performance degradation noticed when product comparison not working for digital products. Users are experiencing slow response times.,Product Details,v2.0.5,v2.1.7,ux.team,customer.support,2024-04-23,2024-04-27,2024-04-27,Cannot Reproduce,"""inventory,images""",5,,SPRINT-39,Product Management,Validation Logic,Performance,High,Critical
ECOM-1239,Bug,Open,Medium,Order tracking not working with expedited delivery,Inconsistent behavior observed when order tracking not working with expedited delivery. The issue appears to be intermittent and affects certain user segments.,Return System,v2.0.5,,,product.manager,2023-10-29,2024-02-05,,,"order,tracking,active""",2,,SPRINT-65,Order Management,State Management,Enhancement,High,Medium
ECOM-1240,Bug,To Do,High,Product count showing incorrect numbers on mobile devices,Inconsistent behavior observed when product count showing incorrect numbers on mobile devices. The issue appears to be intermittent and affects certain user segments.,Navigation System,v2.0.8,,order.team,qa.tester,2024-04-05,2024-05-10,,,"performance,mobile,active""",4,,SPRINT-13,Browse Products by Category,Asset Loading,Data Integrity,Medium,Medium
ECOM-1241,Bug,In Progress,Medium,Wishlist notifications failing with shared lists,Performance degradation noticed when wishlist notifications failing with shared lists. Users are experiencing slow response times.,Favorites Management,v2.1.4,,data.team,ui.designer,2024-07-27,2024-12-09,,,"persistence,notifications,active""",2,,SPRINT-92,Wishlist and Favorites,Data Mapping,Critical,High,Medium
ECOM-1242,Bug,Closed,High,Multiple items addition failing with promotional items,Performance degradation noticed when multiple items addition failing with promotional items. Users are experiencing slow response times.,Mobile UI,v2.0.8,v2.2.0,backend.dev,data.analyst,2023-03-14,2024-12-26,2024-12-26,Cannot Reproduce,"""cart,ui""",5,,SPRINT-1,Add Products to Cart,Storage Issue,Enhancement,Medium,High
ECOM-1243,Bug,Closed,High,Category images not loading with sort options,Critical functionality broken for category images not loading with sort options. This is causing customer complaints and potential revenue loss.,Performance System,v2.0.5,v2.1.0,mobile.tester,ui.designer,2023-01-04,2024-06-29,2024-06-29,Won't Fix,"""category,ui""",5,,SPRINT-52,Browse Products by Category,Database Sync,Enhancement,Low,Critical
ECOM-1244,Bug,Resolved,High,Order cancellation failing with custom requests,Critical functionality broken for order cancellation failing with custom requests. This is causing customer complaints and potential revenue loss.,Order Status,v2.1.0,v2.1.1,john.doe,ui.designer,2024-02-28,2024-10-20,2024-10-20,Duplicate,"""returns,processing""",5,,SPRINT-91,Order Management,Validation Logic,UI/UX,High,Medium
